"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_aw-only_last_state"
"11/19/2021 12:18:43:228 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"34","1","0","0.3","1","0","1","1000","1636"
"1","1","0","0","1","0","1","1000","1595"
"40","1","0.6","0.3","1","0","1","1000","4060"
"48","1","0.3","0.4","1","0","1","1000","2357"
"8","1","0.7","0","1","0","1","1000","1644"
"31","1","0.8","0.2","1","0","1","1000","6372"
"46","1","0.1","0.4","1","0","1","1000","1799"
"45","1","0","0.4","1","0","1","1000","1530"
"7","1","0.6","0","1","0","1","1000","1730"
"26","1","0.3","0.2","1","0","1","1000","1907"
"15","1","0.3","0.1","1","0","1","1000","1782"
"16","1","0.4","0.1","1","0","1","1000","1898"
"33","1","1","0.2","1","0","1","1000","9990"
"38","1","0.4","0.3","1","0","1","1000","2469"
"28","1","0.5","0.2","1","0","1","1000","2649"
"23","1","0","0.2","1","0","1","1000","1586"
"37","1","0.3","0.3","1","0","1","1000","2114"
"35","1","0.1","0.3","1","0","1","1000","1691"
"27","1","0.4","0.2","1","0","1","1000","2081"
"36","1","0.2","0.3","1","0","1","1000","2052"
"12","1","0","0.1","1","0","1","1000","1557"
"10","1","0.9","0","1","0","1","1000","2059"
"13","1","0.1","0.1","1","0","1","1000","1715"
"9","1","0.8","0","1","0","1","1000","1923"
"17","1","0.5","0.1","1","0","1","1000","2159"
"4","1","0.3","0","1","0","1","1000","1439"
"47","1","0.2","0.4","1","0","1","1000","2053"
"24","1","0.1","0.2","1","0","1","1000","1723"
"14","1","0.2","0.1","1","0","1","1000","1738"
"25","1","0.2","0.2","1","0","1","1000","1863"
"49","1","0.4","0.4","1","0","1","1000","2732"
"50","1","0.5","0.4","1","0","1","1000","3667"
"5","1","0.4","0","1","0","1","1000","1651"
"20","1","0.8","0.1","1","0","1","1000","3793"
"18","1","0.6","0.1","1","0","1","1000","2347"
"39","1","0.5","0.3","1","0","1","1000","3114"
"2","1","0.1","0","1","0","1","1000","1506"
"19","1","0.7","0.1","1","0","1","1000","2919"
"29","1","0.6","0.2","1","0","1","1000","2940"
"32","1","0.9","0.2","1","0","1","1000","9869"
"6","1","0.5","0","1","0","1","1000","1693"
"30","1","0.7","0.2","1","0","1","1000","4241"
"41","1","0.7","0.3","1","0","1","1000","5402"
"3","1","0.2","0","1","0","1","1000","1457"
"21","1","0.9","0.1","1","0","1","1000","7788"
"42","1","0.8","0.3","1","0","1","1000","9979"
"44","1","1","0.3","1","0","1","1000","9990"
"22","1","1","0.1","1","0","1","1000","9990"
"43","1","0.9","0.3","1","0","1","1000","9959"
"11","1","1","0","1","0","1","1000","9990"
"80","1","0.2","0.7","1","0","1","1000","2423"
"51","1","0.6","0.4","1","0","1","1000","4907"
"52","1","0.7","0.4","1","0","1","1000","7371"
"59","1","0.3","0.5","1","0","1","1000","2659"
"57","1","0.1","0.5","1","0","1","1000","1783"
"89","1","0","0.8","1","0","1","1000","1505"
"56","1","0","0.5","1","0","1","1000","1648"
"70","1","0.3","0.6","1","0","1","1000","2698"
"58","1","0.2","0.5","1","0","1","1000","2167"
"77","1","1","0.6","1","0","1","1000","9990"
"68","1","0.1","0.6","1","0","1","1000","2018"
"86","1","0.8","0.7","1","0","1","1000","9955"
"74","1","0.7","0.6","1","0","1","1000","9793"
"61","1","0.5","0.5","1","0","1","1000","4403"
"67","1","0","0.6","1","0","1","1000","1642"
"69","1","0.2","0.6","1","0","1","1000","2464"
"82","1","0.4","0.7","1","0","1","1000","3937"
"90","1","0.1","0.8","1","0","1","1000","1934"
"92","1","0.3","0.8","1","0","1","1000","3471"
"78","1","0","0.7","1","0","1","1000","1373"
"96","1","0.7","0.8","1","0","1","1000","9947"
"81","1","0.3","0.7","1","0","1","1000","3103"
"91","1","0.2","0.8","1","0","1","1000","2514"
"72","1","0.5","0.6","1","0","1","1000","4788"
"60","1","0.4","0.5","1","0","1","1000","3319"
"71","1","0.4","0.6","1","0","1","1000","3664"
"84","1","0.6","0.7","1","0","1","1000","9009"
"79","1","0.1","0.7","1","0","1","1000","1850"
"100","1","0","0.9","1","0","1","1000","1751"
"53","1","0.8","0.4","1","0","1","1000","9961"
"55","1","1","0.4","1","0","1","1000","9990"
"54","1","0.9","0.4","1","0","1","1000","9964"
"83","1","0.5","0.7","1","0","1","1000","5525"
"76","1","0.9","0.6","1","0","1","1000","9970"
"93","1","0.4","0.8","1","0","1","1000","4848"
"62","1","0.6","0.5","1","0","1","1000","6217"
"65","1","0.9","0.5","1","0","1","1000","9960"
"73","1","0.6","0.6","1","0","1","1000","7082"
"94","1","0.5","0.8","1","0","1","1000","6305"
"97","1","0.8","0.8","1","0","1","1000","9955"
"95","1","0.6","0.8","1","0","1","1000","8322"
"75","1","0.8","0.6","1","0","1","1000","9949"
"64","1","0.8","0.5","1","0","1","1000","9918"
"87","1","0.9","0.7","1","0","1","1000","9983"
"66","1","1","0.5","1","0","1","1000","9990"
"63","1","0.7","0.5","1","0","1","1000","9935"
"85","1","0.7","0.7","1","0","1","1000","9972"
"88","1","1","0.7","1","0","1","1000","9990"
"99","1","1","0.8","1","0","1","1000","9990"
"101","1","0.1","0.9","1","0","1","1000","1969"
"98","1","0.9","0.8","1","0","1","1000","9979"
"124","1","0.2","0","1","0.1","1","1000","1258"
"103","1","0.3","0.9","1","0","1","1000","3507"
"102","1","0.2","0.9","1","0","1","1000","2664"
"110","1","1","0.9","1","0","1","1000","9990"
"122","1","0","0","1","0.1","1","1000","1196"
"104","1","0.4","0.9","1","0","1","1000","4670"
"112","1","0.1","1","1","0","1","1000","1932"
"113","1","0.2","1","1","0","1","1000","2860"
"128","1","0.6","0","1","0.1","1","1000","1287"
"120","1","0.9","1","1","0","1","1000","9986"
"111","1","0","1","1","0","1","1000","1583"
"146","1","0.2","0.2","1","0.1","1","1000","1502"
"127","1","0.5","0","1","0.1","1","1000","1357"
"126","1","0.4","0","1","0.1","1","1000","1312"
"130","1","0.8","0","1","0.1","1","1000","1432"
"105","1","0.5","0.9","1","0","1","1000","7145"
"133","1","0","0.1","1","0.1","1","1000","1236"
"125","1","0.3","0","1","0.1","1","1000","1260"
"114","1","0.3","1","1","0","1","1000","3754"
"131","1","0.9","0","1","0.1","1","1000","1654"
"129","1","0.7","0","1","0.1","1","1000","1252"
"115","1","0.4","1","1","0","1","1000","5103"
"123","1","0.1","0","1","0.1","1","1000","1245"
"107","1","0.7","0.9","1","0","1","1000","9902"
"134","1","0.1","0.1","1","0.1","1","1000","1283"
"106","1","0.6","0.9","1","0","1","1000","9709"
"135","1","0.2","0.1","1","0.1","1","1000","1350"
"119","1","0.8","1","1","0","1","1000","9966"
"143","1","1","0.1","1","0.1","1","1000","9990"
"116","1","0.5","1","1","0","1","1000","7311"
"145","1","0.1","0.2","1","0.1","1","1000","1278"
"109","1","0.9","0.9","1","0","1","1000","9985"
"147","1","0.3","0.2","1","0.1","1","1000","1638"
"137","1","0.4","0.1","1","0.1","1","1000","1354"
"136","1","0.3","0.1","1","0.1","1","1000","1333"
"108","1","0.8","0.9","1","0","1","1000","9983"
"121","1","1","1","1","0","1","1000","9990"
"144","1","0","0.2","1","0.1","1","1000","1308"
"139","1","0.6","0.1","1","0.1","1","1000","1863"
"138","1","0.5","0.1","1","0.1","1","1000","1605"
"117","1","0.6","1","1","0","1","1000","9958"
"118","1","0.7","1","1","0","1","1000","9972"
"140","1","0.7","0.1","1","0.1","1","1000","2195"
"132","1","1","0","1","0.1","1","1000","9981"
"150","1","0.6","0.2","1","0.1","1","1000","2257"
"141","1","0.8","0.1","1","0.1","1","1000","2863"
"148","1","0.4","0.2","1","0.1","1","1000","1651"
"149","1","0.5","0.2","1","0.1","1","1000","1861"
"142","1","0.9","0.1","1","0.1","1","1000","5310"
"151","1","0.7","0.2","1","0.1","1","1000","2994"
"157","1","0.2","0.3","1","0.1","1","1000","1350"
"155","1","0","0.3","1","0.1","1","1000","1191"
"159","1","0.4","0.3","1","0.1","1","1000","1984"
"152","1","0.8","0.2","1","0.1","1","1000","4376"
"156","1","0.1","0.3","1","0.1","1","1000","1370"
"158","1","0.3","0.3","1","0.1","1","1000","1751"
"169","1","0.3","0.4","1","0.1","1","1000","1798"
"160","1","0.5","0.3","1","0.1","1","1000","2357"
"161","1","0.6","0.3","1","0.1","1","1000","3235"
"179","1","0.2","0.5","1","0.1","1","1000","1549"
"167","1","0.1","0.4","1","0.1","1","1000","1333"
"168","1","0.2","0.4","1","0.1","1","1000","1508"
"166","1","0","0.4","1","0.1","1","1000","1341"
"162","1","0.7","0.3","1","0.1","1","1000","3821"
"171","1","0.5","0.4","1","0.1","1","1000","2632"
"154","1","1","0.2","1","0.1","1","1000","9987"
"170","1","0.4","0.4","1","0.1","1","1000","2253"
"192","1","0.4","0.6","1","0.1","1","1000","2563"
"189","1","0.1","0.6","1","0.1","1","1000","1435"
"153","1","0.9","0.2","1","0.1","1","1000","9612"
"178","1","0.1","0.5","1","0.1","1","1000","1320"
"180","1","0.3","0.5","1","0.1","1","1000","1966"
"177","1","0","0.5","1","0.1","1","1000","1294"
"172","1","0.6","0.4","1","0.1","1","1000","3623"
"163","1","0.8","0.3","1","0.1","1","1000","6438"
"190","1","0.2","0.6","1","0.1","1","1000","1764"
"173","1","0.7","0.4","1","0.1","1","1000","5026"
"183","1","0.6","0.5","1","0.1","1","1000","4333"
"188","1","0","0.6","1","0.1","1","1000","1168"
