"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_unaw-only_last_state"
"11/08/2021 15:57:19:433 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"1","1","0","1","1","0","0","1000","1622"
"2","1","0.1","1","1","0","0","1000","1931"
"14","1","0.2","1","1","0.1","0","1000","2765"
"3","1","0.2","1","1","0","0","1000","2920"
"6","1","0.5","1","1","0","0","1000","7184"
"5","1","0.4","1","1","0","0","1000","5294"
"16","1","0.4","1","1","0.1","0","1000","4734"
"45","1","0","1","1","0.4","0","1000","1546"
"46","1","0.1","1","1","0.4","0","1000","1930"
"37","1","0.3","1","1","0.3","0","1000","3699"
"8","1","0.7","1","1","0","0","1000","9934"
"10","1","0.9","1","1","0","0","1000","9981"
"27","1","0.4","1","1","0.2","0","1000","5489"
"12","1","0","1","1","0.1","0","1000","1600"
"23","1","0","1","1","0.2","0","1000","1665"
"34","1","0","1","1","0.3","0","1000","1510"
"24","1","0.1","1","1","0.2","0","1000","2143"
"11","1","1","1","1","0","0","1000","9990"
"13","1","0.1","1","1","0.1","0","1000","1978"
"47","1","0.2","1","1","0.4","0","1000","2972"
"35","1","0.1","1","1","0.3","0","1000","2069"
"30","1","0.7","1","1","0.2","0","1000","9951"
"4","1","0.3","1","1","0","0","1000","3872"
"25","1","0.2","1","1","0.2","0","1000","2748"
"48","1","0.3","1","1","0.4","0","1000","3557"
"26","1","0.3","1","1","0.2","0","1000","3998"
"36","1","0.2","1","1","0.3","0","1000","2949"
"18","1","0.6","1","1","0.1","0","1000","9913"
"15","1","0.3","1","1","0.1","0","1000","3673"
"40","1","0.6","1","1","0.3","0","1000","9942"
"32","1","0.9","1","1","0.2","0","1000","9980"
"31","1","0.8","1","1","0.2","0","1000","9961"
"28","1","0.5","1","1","0.2","0","1000","8155"
"49","1","0.4","1","1","0.4","0","1000","5679"
"7","1","0.6","1","1","0","0","1000","9661"
"43","1","0.9","1","1","0.3","0","1000","9982"
"42","1","0.8","1","1","0.3","0","1000","9963"
"17","1","0.5","1","1","0.1","0","1000","7510"
