"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sampleCOPY.nlogo"
"fake_news-not_fake-only_over"
"10/28/2021 22:42:23:983 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","decay-aw","alpha-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"50","0.5","0.4","0","0","0","0","1000","1585"
"51","0.6","0.4","0","0","0","0","1000","1725"
"48","0.3","0.4","0","0","0","0","1000","1552"
"56","0","0.5","0","0","0","0","1000","1560"
"62","0.6","0.5","0","0","0","0","1000","1679"
"16","0.4","0.1","0","0","0","0","1000","1638"
"57","0.1","0.5","0","0","0","0","1000","1649"
"55","1","0.4","0","0","0","0","1000","5042"
"1","0","0","0","0","0","0","1000","1609"
"14","0.2","0.1","0","0","0","0","1000","1686"
"13","0.1","0.1","0","0","0","0","1000","1533"
"2","0.1","0","0","0","0","0","1000","1597"
"39","0.5","0.3","0","0","0","0","1000","1790"
"53","0.8","0.4","0","0","0","0","1000","1892"
"38","0.4","0.3","0","0","0","0","1000","1642"
"43","0.9","0.3","0","0","0","0","1000","2276"
"41","0.7","0.3","0","0","0","0","1000","1606"
"36","0.2","0.3","0","0","0","0","1000","1618"
"20","0.8","0.1","0","0","0","0","1000","1834"
"40","0.6","0.3","0","0","0","0","1000","1555"
"4","0.3","0","0","0","0","0","1000","1700"
"21","0.9","0.1","0","0","0","0","1000","1828"
"17","0.5","0.1","0","0","0","0","1000","1578"
"44","1","0.3","0","0","0","0","1000","3873"
"37","0.3","0.3","0","0","0","0","1000","1562"
"54","0.9","0.4","0","0","0","0","1000","2503"
"59","0.3","0.5","0","0","0","0","1000","1458"
"52","0.7","0.4","0","0","0","0","1000","1671"
"27","0.4","0.2","0","0","0","0","1000","1767"
"24","0.1","0.2","0","0","0","0","1000","1574"
"18","0.6","0.1","0","0","0","0","1000","1604"
"61","0.5","0.5","0","0","0","0","1000","1532"
"11","1","0","0","0","0","0","1000","1679"
"47","0.2","0.4","0","0","0","0","1000","1683"
"46","0.1","0.4","0","0","0","0","1000","1499"
"33","1","0.2","0","0","0","0","1000","2786"
"49","0.4","0.4","0","0","0","0","1000","1578"
"34","0","0.3","0","0","0","0","1000","1470"
"10","0.9","0","0","0","0","0","1000","1684"
"64","0.8","0.5","0","0","0","0","1000","2089"
"23","0","0.2","0","0","0","0","1000","1758"
"3","0.2","0","0","0","0","0","1000","1766"
"60","0.4","0.5","0","0","0","0","1000","1587"
"5","0.4","0","0","0","0","0","1000","1613"
"6","0.5","0","0","0","0","0","1000","1617"
"45","0","0.4","0","0","0","0","1000","1608"
"9","0.8","0","0","0","0","0","1000","1712"
"32","0.9","0.2","0","0","0","0","1000","2046"
"29","0.6","0.2","0","0","0","0","1000","1724"
"30","0.7","0.2","0","0","0","0","1000","1713"
"35","0.1","0.3","0","0","0","0","1000","1720"
"63","0.7","0.5","0","0","0","0","1000","1817"
"22","1","0.1","0","0","0","0","1000","1994"
"19","0.7","0.1","0","0","0","0","1000","1778"
"26","0.3","0.2","0","0","0","0","1000","1564"
"31","0.8","0.2","0","0","0","0","1000","1782"
"12","0","0.1","0","0","0","0","1000","1644"
"28","0.5","0.2","0","0","0","0","1000","1598"
"15","0.3","0.1","0","0","0","0","1000","1646"
"25","0.2","0.2","0","0","0","0","1000","1609"
"7","0.6","0","0","0","0","0","1000","1618"
"42","0.8","0.3","0","0","0","0","1000","1998"
"58","0.2","0.5","0","0","0","0","1000","1478"
"8","0.7","0","0","0","0","0","1000","1605"
"65","0.9","0.5","0","0","0","0","1000","2853"
"67","0","0.6","0","0","0","0","1000","1576"
"68","0.1","0.6","0","0","0","0","1000","1566"
"66","1","0.5","0","0","0","0","1000","7822"
"71","0.4","0.6","0","0","0","0","1000","1534"
"69","0.2","0.6","0","0","0","0","1000","1480"
"89","0","0.8","0","0","0","0","1000","1581"
"78","0","0.7","0","0","0","0","1000","1508"
"72","0.5","0.6","0","0","0","0","1000","1612"
"73","0.6","0.6","0","0","0","0","1000","1756"
"85","0.7","0.7","0","0","0","0","1000","1738"
"79","0.1","0.7","0","0","0","0","1000","1584"
"100","0","0.9","0","0","0","0","1000","1565"
"70","0.3","0.6","0","0","0","0","1000","1624"
"80","0.2","0.7","0","0","0","0","1000","1480"
"74","0.7","0.6","0","0","0","0","1000","1965"
"86","0.8","0.7","0","0","0","0","1000","2286"
"82","0.4","0.7","0","0","0","0","1000","1678"
"76","0.9","0.6","0","0","0","0","1000","3256"
"81","0.3","0.7","0","0","0","0","1000","1491"
"94","0.5","0.8","0","0","0","0","1000","1642"
"84","0.6","0.7","0","0","0","0","1000","1832"
"75","0.8","0.6","0","0","0","0","1000","2091"
"95","0.6","0.8","0","0","0","0","1000","1726"
"83","0.5","0.7","0","0","0","0","1000","1615"
"97","0.8","0.8","0","0","0","0","1000","2316"
"90","0.1","0.8","0","0","0","0","1000","1542"
"103","0.3","0.9","0","0","0","0","1000","1519"
"96","0.7","0.8","0","0","0","0","1000","1835"
"92","0.3","0.8","0","0","0","0","1000","1551"
"93","0.4","0.8","0","0","0","0","1000","1567"
"102","0.2","0.9","0","0","0","0","1000","1571"
"101","0.1","0.9","0","0","0","0","1000","1629"
"104","0.4","0.9","0","0","0","0","1000","1607"
"107","0.7","0.9","0","0","0","0","1000","2047"
"91","0.2","0.8","0","0","0","0","1000","1573"
"111","0","1","0","0","0","0","1000","1535"
"87","0.9","0.7","0","0","0","0","1000","3625"
"106","0.6","0.9","0","0","0","0","1000","1877"
"116","0.5","1","0","0","0","0","1000","1720"
"77","1","0.6","0","0","0","0","1000","9654"
"113","0.2","1","0","0","0","0","1000","1557"
"125","0.3","0","0.1","0","0","0","1000","1645"
"128","0.6","0","0.1","0","0","0","1000","1583"
"88","1","0.7","0","0","0","0","1000","9972"
"122","0","0","0.1","0","0","0","1000","1624"
"114","0.3","1","0","0","0","0","1000","1486"
"112","0.1","1","0","0","0","0","1000","1552"
"117","0.6","1","0","0","0","0","1000","1739"
"115","0.4","1","0","0","0","0","1000","1591"
"119","0.8","1","0","0","0","0","1000","2696"
"118","0.7","1","0","0","0","0","1000","2172"
"105","0.5","0.9","0","0","0","0","1000","1606"
"127","0.5","0","0.1","0","0","0","1000","1516"
"123","0.1","0","0.1","0","0","0","1000","1571"
"126","0.4","0","0.1","0","0","0","1000","1622"
"120","0.9","1","0","0","0","0","1000","4999"
"108","0.8","0.9","0","0","0","0","1000","2783"
"110","1","0.9","0","0","0","0","1000","9988"
"98","0.9","0.8","0","0","0","0","1000","4119"
"124","0.2","0","0.1","0","0","0","1000","1580"
"99","1","0.8","0","0","0","0","1000","9989"
"121","1","1","0","0","0","0","1000","9990"
"109","0.9","0.9","0","0","0","0","1000","4362"
"129","0.7","0","0.1","0","0","0","1000","1554"
"132","1","0","0.1","0","0","0","1000","1488"
"133","0","0.1","0.1","0","0","0","1000","1589"
"131","0.9","0","0.1","0","0","0","1000","1576"
"130","0.8","0","0.1","0","0","0","1000","1529"
"135","0.2","0.1","0.1","0","0","0","1000","1502"
"138","0.5","0.1","0.1","0","0","0","1000","1587"
"134","0.1","0.1","0.1","0","0","0","1000","1584"
"140","0.7","0.1","0.1","0","0","0","1000","1765"
"136","0.3","0.1","0.1","0","0","0","1000","1576"
"141","0.8","0.1","0.1","0","0","0","1000","1750"
"144","0","0.2","0.1","0","0","0","1000","1437"
