"export-plots data (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sampleCOPY.nlogo"
"10/28/2021 20:38:18:835 -0300"

"MODEL SETTINGS"
"total-agents","turtle-shape","init-infected","%awareness-cte","%unawareness-cte","alpha-aw","alpha-unaw","decay-aw","decay-unaw","awareness-init","unawareness-init","freq-information","acceptance_rate_gov","init_info_time","network-probability","people-communication","gov-communication","inform-infected","acceptance_rate_fake_media"
"10000","""person""","10","0","0","0.2","0","0.6","0","0","0","1","1","0","0","true","true","true","1"

"""States"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","11000","true","""exposed""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""exposed""","true","0","1","25","1000"
"""infected""","true","0","1","15","1000"
"""immune""","true","0","1","5","1000"
"""dead""","true","0","1","0","1000"
"""susceptible""","true","0","1","65","1000"

"""exposed""",,,,"""infected""",,,,"""immune""",,,,"""dead""",,,,"""susceptible"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","10","15","true","0","0","5","true","0","0","0","true","0","9990","65","true"
"1","3","25","true","1","10","15","true","1","0","5","true","1","0","0","true","1","9987","65","true"
"2","7","25","true","2","10","15","true","2","0","5","true","2","0","0","true","2","9983","65","true"
"3","12","25","true","3","10","15","true","3","0","5","true","3","0","0","true","3","9978","65","true"
"4","20","25","true","4","10","15","true","4","0","5","true","4","0","0","true","4","9970","65","true"
"5","27","25","true","5","10","15","true","5","0","5","true","5","0","0","true","5","9963","65","true"
"6","32","25","true","6","10","15","true","6","0","5","true","6","0","0","true","6","9958","65","true"
"7","32","25","true","7","0","15","true","7","2","5","true","7","8","0","true","7","9958","65","true"
"8","34","25","true","8","0","15","true","8","2","5","true","8","8","0","true","8","9956","65","true"
"9","37","25","true","9","0","15","true","9","2","5","true","9","8","0","true","9","9953","65","true"
"10","37","25","true","10","0","15","true","10","2","5","true","10","8","0","true","10","9953","65","true"
"11","37","25","true","11","0","15","true","11","2","5","true","11","0","0","true","11","9953","65","true"
"12","34","25","true","12","3","15","true","12","2","5","true","12","0","0","true","12","9953","65","true"
"13","30","25","true","13","7","15","true","13","2","5","true","13","0","0","true","13","9953","65","true"
"14","26","25","true","14","12","15","true","14","2","5","true","14","0","0","true","14","9952","65","true"
"15","22","25","true","15","20","15","true","15","2","5","true","15","0","0","true","15","9948","65","true"
"16","22","25","true","16","27","15","true","16","2","5","true","16","0","0","true","16","9941","65","true"
"17","32","25","true","17","32","15","true","17","2","5","true","17","0","0","true","17","9926","65","true"
"18","37","25","true","18","29","15","true","18","5","5","true","18","0","0","true","18","9921","65","true"
"19","39","25","true","19","27","15","true","19","7","5","true","19","2","0","true","19","9917","65","true"
"20","44","25","true","20","25","15","true","20","9","5","true","20","5","0","true","20","9909","65","true"
"21","54","25","true","21","17","15","true","21","11","5","true","21","11","0","true","21","9899","65","true"
"22","57","25","true","22","10","15","true","22","11","5","true","22","18","0","true","22","9896","65","true"
"23","62","25","true","23","5","15","true","23","12","5","true","23","20","0","true","23","9891","65","true"
"24","73","25","true","24","5","15","true","24","12","5","true","24","17","0","true","24","9880","65","true"
"25","78","25","true","25","4","15","true","25","12","5","true","25","13","0","true","25","9874","65","true"
"26","76","25","true","26","5","15","true","26","12","5","true","26","9","0","true","26","9872","65","true"
"27","73","25","true","27","12","15","true","27","12","5","true","27","5","0","true","27","9868","65","true"
"28","61","25","true","28","27","15","true","28","12","5","true","28","5","0","true","28","9865","65","true"
"29","63","25","true","29","32","15","true","29","12","5","true","29","3","0","true","29","9858","65","true"
"30","66","25","true","30","36","15","true","30","12","5","true","30","0","0","true","30","9851","65","true"
"31","69","25","true","31","43","15","true","31","13","5","true","31","0","0","true","31","9840","65","true"
"32","83","25","true","32","49","15","true","32","14","5","true","32","3","0","true","32","9816","65","true"
"33","99","25","true","33","45","15","true","33","15","5","true","33","9","0","true","33","9797","65","true"
"34","105","25","true","34","35","15","true","34","21","5","true","34","18","0","true","34","9786","65","true"
"35","107","25","true","35","41","15","true","35","22","5","true","35","22","0","true","35","9773","65","true"
"36","118","25","true","36","43","15","true","36","24","5","true","36","21","0","true","36","9756","65","true"
"37","125","25","true","37","37","15","true","37","27","5","true","37","20","0","true","37","9747","65","true"
"38","132","25","true","38","31","15","true","38","29","5","true","38","19","0","true","38","9736","65","true"
"39","140","25","true","39","31","15","true","39","29","5","true","39","18","0","true","39","9725","65","true"
"40","151","25","true","40","33","15","true","40","30","5","true","40","20","0","true","40","9707","65","true"
"41","148","25","true","41","29","15","true","41","33","5","true","41","23","0","true","41","9703","65","true"
"42","151","25","true","42","34","15","true","42","33","5","true","42","21","0","true","42","9689","65","true"
"43","145","25","true","43","56","15","true","43","33","5","true","43","20","0","true","43","9671","65","true"
"44","140","25","true","44","71","15","true","44","35","5","true","44","18","0","true","44","9657","65","true"
"45","165","25","true","45","79","15","true","45","35","5","true","45","13","0","true","45","9621","65","true"
"46","172","25","true","46","85","15","true","46","37","5","true","46","12","0","true","46","9601","65","true"
"47","183","25","true","47","95","15","true","47","38","5","true","47","16","0","true","47","9573","65","true"
"48","221","25","true","48","93","15","true","48","43","5","true","48","20","0","true","48","9526","65","true"
"49","223","25","true","49","80","15","true","49","48","5","true","49","36","0","true","49","9513","65","true"
"50","244","25","true","50","72","15","true","50","54","5","true","50","44","0","true","50","9481","65","true"
"51","248","25","true","51","79","15","true","51","59","5","true","51","44","0","true","51","9459","65","true"
"52","276","25","true","52","70","15","true","52","62","5","true","52","48","0","true","52","9427","65","true"
"53","272","25","true","53","67","15","true","53","69","5","true","53","39","0","true","53","9417","65","true"
"54","277","25","true","54","76","15","true","54","74","5","true","54","30","0","true","54","9394","65","true"
"55","284","25","true","55","79","15","true","55","77","5","true","55","32","0","true","55","9373","65","true"
"56","271","25","true","56","104","15","true","56","82","5","true","56","28","0","true","56","9350","65","true"
"57","278","25","true","57","106","15","true","57","86","5","true","57","32","0","true","57","9323","65","true"
"58","288","25","true","58","130","15","true","58","88","5","true","58","30","0","true","58","9285","65","true"
"59","270","25","true","59","163","15","true","59","92","5","true","59","32","0","true","59","9256","65","true"
"60","303","25","true","60","158","15","true","60","95","5","true","60","41","0","true","60","9210","65","true"
"61","311","25","true","61","176","15","true","61","100","5","true","61","36","0","true","61","9170","65","true"
"62","347","25","true","62","162","15","true","62","107","5","true","62","63","0","true","62","9112","65","true"
"63","374","25","true","63","174","15","true","63","113","5","true","63","67","0","true","63","9053","65","true"
"64","415","25","true","64","156","15","true","64","119","5","true","64","74","0","true","64","9002","65","true"
"65","437","25","true","65","132","15","true","65","131","5","true","65","100","0","true","65","8957","65","true"
"66","481","25","true","66","140","15","true","66","138","5","true","66","77","0","true","66","8892","65","true"
"67","501","25","true","67","131","15","true","67","147","5","true","67","86","0","true","67","8849","65","true"
"68","518","25","true","68","136","15","true","68","153","5","true","68","80","0","true","68","8805","65","true"
"69","526","25","true","69","142","15","true","69","161","5","true","69","69","0","true","69","8759","65","true"
"70","553","25","true","70","161","15","true","70","165","5","true","70","69","0","true","70","8703","65","true"
"71","553","25","true","71","184","15","true","71","170","5","true","71","64","0","true","71","8657","65","true"
"72","567","25","true","72","203","15","true","72","177","5","true","72","62","0","true","72","8603","65","true"
"73","572","25","true","73","238","15","true","73","182","5","true","73","56","0","true","73","8540","65","true"
"74","587","25","true","74","270","15","true","74","190","5","true","74","69","0","true","74","8466","65","true"
"75","597","25","true","75","283","15","true","75","199","5","true","75","80","0","true","75","8405","65","true"
"76","627","25","true","76","299","15","true","76","204","5","true","76","90","0","true","76","8330","65","true"
"77","639","25","true","77","318","15","true","77","226","5","true","77","96","0","true","77","8253","65","true"
"78","682","25","true","78","321","15","true","78","241","5","true","78","102","0","true","78","8167","65","true"
"79","735","25","true","79","307","15","true","79","261","5","true","79","111","0","true","79","8070","65","true"
"80","749","25","true","80","294","15","true","80","277","5","true","80","130","0","true","80","8010","65","true"
"81","771","25","true","81","299","15","true","81","290","5","true","81","144","0","true","81","7932","65","true"
"82","819","25","true","82","300","15","true","82","302","5","true","82","152","0","true","82","7838","65","true"
