"export-plots data (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"12/15/2021 12:54:50:758 -0300"

"MODEL SETTINGS"
"total-agents","turtle-shape","init-infected","%awareness-cte","%unawareness-cte","alpha-aw","alpha-unaw","decay-aw","decay-unaw","awareness-init","unawareness-init","freq-information","acceptance_rate_gov","init_info_time","network-probability","people-communication","gov-communication","inform-infected","acceptance_rate_fake_media"
"10000","""person""","100","0.7","0","0.7","0","0.8","0","0","0","1","1","0","0","true","true","true","1"

"""States"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","10900","true","""exposed""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""exposed""","true","0","1","25","1000"
"""infected""","true","0","1","15","1000"
"""immune""","true","0","1","5","1000"
"""dead""","true","0","1","0","1000"
"""susceptible""","true","0","1","65","1000"

"""exposed""",,,,"""infected""",,,,"""immune""",,,,"""dead""",,,,"""susceptible"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","100","15","true","0","0","5","true","0","0","0","true","0","9900","65","true"
"1","35","25","true","1","100","15","true","1","0","5","true","1","0","0","true","1","9865","65","true"
"2","68","25","true","2","100","15","true","2","0","5","true","2","0","0","true","2","9832","65","true"
"3","81","25","true","3","100","15","true","3","0","5","true","3","0","0","true","3","9819","65","true"
"4","90","25","true","4","100","15","true","4","0","5","true","4","0","0","true","4","9810","65","true"
"5","107","25","true","5","100","15","true","5","0","5","true","5","0","0","true","5","9793","65","true"
"6","124","25","true","6","100","15","true","6","0","5","true","6","0","0","true","6","9776","65","true"
"7","124","25","true","7","0","15","true","7","23","5","true","7","77","0","true","7","9776","65","true"
"8","135","25","true","8","0","15","true","8","23","5","true","8","77","0","true","8","9765","65","true"
"9","144","25","true","9","0","15","true","9","23","5","true","9","77","0","true","9","9756","65","true"
"10","157","25","true","10","0","15","true","10","23","5","true","10","77","0","true","10","9743","65","true"
"11","157","25","true","11","0","15","true","11","23","5","true","11","0","0","true","11","9743","65","true"
"12","122","25","true","12","35","15","true","12","23","5","true","12","0","0","true","12","9743","65","true"
"13","93","25","true","13","68","15","true","13","23","5","true","13","0","0","true","13","9739","65","true"
"14","83","25","true","14","81","15","true","14","23","5","true","14","0","0","true","14","9736","65","true"
"15","88","25","true","15","90","15","true","15","23","5","true","15","0","0","true","15","9722","65","true"
"16","79","25","true","16","107","15","true","16","23","5","true","16","0","0","true","16","9714","65","true"
"17","79","25","true","17","124","15","true","17","23","5","true","17","0","0","true","17","9697","65","true"
"18","94","25","true","18","89","15","true","18","34","5","true","18","24","0","true","18","9682","65","true"
"19","95","25","true","19","67","15","true","19","42","5","true","19","49","0","true","19","9670","65","true"
"20","95","25","true","20","63","15","true","20","46","5","true","20","58","0","true","20","9661","65","true"
"21","97","25","true","21","67","15","true","21","51","5","true","21","62","0","true","21","9646","65","true"
"22","110","25","true","22","50","15","true","22","58","5","true","22","48","0","true","22","9633","65","true"
"23","117","25","true","23","33","15","true","23","65","5","true","23","33","0","true","23","9626","65","true"
"24","125","25","true","24","37","15","true","24","65","5","true","24","24","0","true","24","9614","65","true"
"25","131","25","true","25","29","15","true","25","68","5","true","25","28","0","true","25","9605","65","true"
"26","126","25","true","26","34","15","true","26","69","5","true","26","26","0","true","26","9596","65","true"
"27","122","25","true","27","29","15","true","27","73","5","true","27","25","0","true","27","9592","65","true"
"28","111","25","true","28","46","15","true","28","73","5","true","28","25","0","true","28","9586","65","true"
"29","111","25","true","29","61","15","true","29","73","5","true","29","17","0","true","29","9571","65","true"
"30","109","25","true","30","69","15","true","30","74","5","true","30","12","0","true","30","9561","65","true"
"31","107","25","true","31","75","15","true","31","75","5","true","31","5","0","true","31","9554","65","true"
"32","106","25","true","32","76","15","true","32","80","5","true","32","14","0","true","32","9540","65","true"
"33","109","25","true","33","81","15","true","33","84","5","true","33","18","0","true","33","9524","65","true"
"34","107","25","true","34","71","15","true","34","91","5","true","34","25","0","true","34","9519","65","true"
"35","109","25","true","35","68","15","true","35","94","5","true","35","35","0","true","35","9505","65","true"
"36","115","25","true","36","65","15","true","36","98","5","true","36","34","0","true","36","9490","65","true"
"37","123","25","true","37","65","15","true","37","102","5","true","37","35","0","true","37","9473","65","true"
"38","131","25","true","38","54","15","true","38","108","5","true","38","34","0","true","38","9461","65","true"
"39","134","25","true","39","47","15","true","39","110","5","true","39","33","0","true","39","9452","65","true"
"40","128","25","true","40","55","15","true","40","110","5","true","40","32","0","true","40","9443","65","true"
"41","127","25","true","41","53","15","true","41","113","5","true","41","36","0","true","41","9434","65","true"
"42","127","25","true","42","51","15","true","42","118","5","true","42","31","0","true","42","9427","65","true"
"43","122","25","true","43","56","15","true","43","120","5","true","43","27","0","true","43","9418","65","true"
"44","116","25","true","44","68","15","true","44","121","5","true","44","23","0","true","44","9408","65","true"
"45","129","25","true","45","67","15","true","45","124","5","true","45","17","0","true","45","9390","65","true"
"46","121","25","true","46","66","15","true","46","128","5","true","46","24","0","true","46","9384","65","true"
"47","117","25","true","47","71","15","true","47","132","5","true","47","23","0","true","47","9373","65","true"
"48","110","25","true","48","81","15","true","48","136","5","true","48","23","0","true","48","9363","65","true"
"49","105","25","true","49","79","15","true","49","140","5","true","49","30","0","true","49","9356","65","true"
"50","106","25","true","50","72","15","true","50","146","5","true","50","29","0","true","50","9346","65","true"
"51","111","25","true","51","76","15","true","51","147","5","true","51","27","0","true","51","9332","65","true"
"52","108","25","true","52","71","15","true","52","153","5","true","52","32","0","true","52","9326","65","true"
"53","109","25","true","53","63","15","true","53","159","5","true","53","31","0","true","53","9318","65","true"
"54","108","25","true","54","55","15","true","54","162","5","true","54","35","0","true","54","9310","65","true"
"55","108","25","true","55","53","15","true","55","164","5","true","55","41","0","true","55","9300","65","true"
"56","95","25","true","56","62","15","true","56","164","5","true","56","42","0","true","56","9295","65","true"
"57","103","25","true","57","59","15","true","57","166","5","true","57","40","0","true","57","9281","65","true"
"58","103","25","true","58","61","15","true","58","171","5","true","58","30","0","true","58","9270","65","true"
"59","101","25","true","59","64","15","true","59","172","5","true","59","26","0","true","59","9262","65","true"
"60","116","25","true","60","62","15","true","60","175","5","true","60","23","0","true","60","9240","65","true"
"61","116","25","true","61","62","15","true","61","178","5","true","61","23","0","true","61","9230","65","true"
"62","114","25","true","62","58","15","true","62","184","5","true","62","31","0","true","62","9218","65","true"
"63","120","25","true","63","58","15","true","63","185","5","true","63","30","0","true","63","9206","65","true"
"64","116","25","true","64","55","15","true","64","190","5","true","64","30","0","true","64","9202","65","true"
"65","125","25","true","65","53","15","true","65","194","5","true","65","29","0","true","65","9185","65","true"
"66","122","25","true","66","56","15","true","66","195","5","true","66","23","0","true","66","9178","65","true"
"67","126","25","true","67","51","15","true","67","197","5","true","67","26","0","true","67","9169","65","true"
"68","116","25","true","68","51","15","true","68","199","5","true","68","32","0","true","68","9165","65","true"
"69","113","25","true","69","56","15","true","69","200","5","true","69","31","0","true","69","9157","65","true"
"70","117","25","true","70","56","15","true","70","203","5","true","70","30","0","true","70","9145","65","true"
